Iteration;Reward;Time;Beta;;;;;
4800;-2,43563986;25,49;0,95;;;;;
4850;-2,61726832;25,74;0,95;;;;;
4900;-2,42405558;26;0,95;;;;;
4950;-13,82793617;26,27;0,95;;;;;
5000;-13,23609257;26,52;0,95;;;;;
5050;-7,54782104;26,78;0,95;;;;;
5100;-2995,399414;27,03;0,95;;;;;
5150;-7,54260206;27,3;0,95;;;;;
5200;-2,40609121;27,57;0,95;;;;;
5250;-16,79047585;27,82;0,95;;;;;
5300;-2,50488377;28,08;0,95;;;;;
5350;-2,44475842;28,34;0,95;;;;;
5400;-2,43708587;28,6;0,95;;;;;
5450;-2,50456262;28,85;0,95;;;;;
5500;-2,41225338;29,1;0,95;;;;;
5550;-2,41030312;29,36;0,95;;;;;
5600;-2,41854668;29,62;0,95;;;;;
5650;-5,34533882;29,87;0,95;;;;;
5700;-7,96775389;30,12;0,95;;;;;
5750;-2,40166593;30,4;0,95;;;;;
5800;-2,41236782;30,65;0,95;;;;;
5850;-2,40143442;30,91;0,95;;;;;
5900;-2,45052814;31,17;0,95;;;;;
5950;-2,411654;31,42;0,95;;;;;
6000;-2,41033268;31,68;0,95;;;;;
6050;-2,41176581;31,93;0,95;;;;;
6100;-2,40267754;32,18;0,95;;;;;
6150;-2,40161157;32,43;0,95;;;;;
6200;-2,50683641;32,69;0,95;;;;;
6250;-2,41149592;32,95;0,95;;;;;
6300;-2,42289424;33,2;0,95;;;;;
6350;-2,41153622;33,45;0,95;;;;;
6400;-2,50406003;33,71;0,95;;;;;
6450;-2,43440986;33,96;0,95;;;;;
6500;-2,4567616;34,21;0,95;;;;;
6550;-2,40554786;34,46;0,95;;;;;
6600;-2,44129109;34,72;0,95;;;;;
6650;-2,40292668;34,97;0,95;;;;;
6700;-2,40404773;35,23;0,95;;;;;
6750;-2,40750217;35,48;0,95;;;;;
6800;-2,4189496;35,74;0,95;;;;;
6850;-2,40386987;36;0,95;;;;;
6900;-2,40338206;36,26;0,95;;;;;
6950;-2,42244482;36,51;0,95;;;;;
7000;-2,4239192;36,77;0,95;;;;;
7050;-2,44308853;37,03;0,95;;;;;
7100;-2,40761518;37,29;0,95;;;;;
7150;-2,40148664;37,54;0,95;;;;;
7200;-2,42535114;37,8;0,95;;;;;
7250;-2,46965981;38,05;0,95;;;;;
7300;-2,40017557;38,33;0,95;;;;;
7350;-2,39981413;38,6;0,95;;;;;
7400;-2,40718174;38,85;0,95;;;;;
7450;-2,44771218;39,11;0,95;;;;;
7500;-2,40052557;39,37;0,95;;;;;
7550;-2,40643764;39,63;0,95;;;;;
7600;-2,39742279;39,9;0,95;;;;;
7650;-2,4172678;40,15;0,95;;;;;
7700;-2,40010023;40,4;0,95;;;;;
7750;-2,39984679;40,67;0,95;;;;;
7800;-2,40586472;40,92;0,95;;;;;
7850;-2,41055036;41,18;0,95;;;;;
7900;-2,9384923;41,43;0,95;;;;;
7950;-2,39762878;41,7;0,95;;;;;
8000;-2,40304089;41,95;0,95;;;;;
8050;-2,39915514;42,21;0,95;;;;;
8100;-2,39442396;42,47;0,95;;;;;
8150;-2,43942499;42,72;0,95;;;;;
8200;-8,11118793;42,98;0,95;;;;;
8250;-2,39366698;43,25;0,95;;;;;
8300;-2,40979815;43,5;0,95;;;;;
8350;-2,41525173;43,75;0,95;;;;;
8400;-2,43187261;44;0,95;;;;;
8450;-2,41924906;44,27;0,95;;;;;
8500;-2,44300222;44,52;0,95;;;;;
8550;-2,40017748;44,77;0,95;;;;;
8600;-2,39601254;45,02;0,95;;;;;
8650;-2,40358496;45,28;0,95;;;;;
8700;-2,75154638;45,54;0,95;;;;;
8750;-16,30506516;45,79;0,95;;;;;
8800;-2,44369435;46,04;0,95;;;;;
8850;-2,39523959;46,29;0,95;;;;;
8900;-2,39950371;46,55;0,95;;;;;
8950;-2,45375371;46,8;0,95;;;;;
9000;-2,39741039;47,06;0,95;;;;;
9050;-2,43188214;47,31;0,95;;;;;
9100;-2,4071517;47,56;0,95;;;;;
9150;-2,39921045;47,82;0,95;;;;;
9200;-10,30959797;48,07;0,95;;;;;
9250;-2,41417813;48,32;0,95;;;;;
9300;-2,39831805;48,58;0,95;;;;;
9350;-2,49353623;48,83;0,95;;;;;
9400;-2,39357233;49,1;0,95;;;;;
9450;-2,39566302;49,36;0,95;;;;;
9500;-2,40087032;49,61;0,95;;;;;
9550;-2,43559003;49,86;0,95;;;;;
9600;-2,39613605;50,11;0,95;;;;;
9650;-2,41339946;50,37;0,95;;;;;
9700;-2,39343023;50,64;0,95;;;;;
9750;-2,40216541;50,89;0,95;;;;;
9800;-2,4113543;51,14;0,95;;;;;
9850;-2,39482069;51,4;0,95;;;;;
9900;-2,39264488;51,67;0,95;;;;;
9950;-2,44291854;51,92;0,95;;;;;
10000;-2,39494681;52,18;0,95;;;;;
10050;-2,39625096;52,43;0,95;;;;;
10100;-2,41400886;52,68;0,95;;;;;
10150;-2,39928174;52,94;0,95;;;;;
10200;-2,43259478;53,19;0,95;;;;;
10250;-2,39863038;53,44;0,95;;;;;
10300;-2,4115622;53,7;0,95;;;;;
10350;-2,42078018;53,96;0,95;;;;;
10400;-12,99410343;54,23;0,95;;;;;
10450;-2,42668867;54,48;0,95;;;;;
10500;-2,39215064;54,75;0,95;;;;;
10550;-2,41403031;55,01;0,95;;;;;
10600;-2,40473008;55,27;0,95;;;;;
10650;-2,39512539;55,54;0,95;;;;;
10700;-2,39839268;55,79;0,95;;;;;
10750;-2,39050794;56,06;0,95;;;;;
10800;-2,39407492;56,32;0,95;;;;;
10850;-2,39981365;56,58;0,95;;;;;
10900;-2,3989625;56,85;0,95;;;;;
10950;-2,39149094;57,1;0,95;;;;;
11000;-2,39357233;57,36;0,95;;;;;
11050;-2,41260982;57,61;0,95;;;;;
11100;-2,39636326;57,87;0,95;;;;;
11150;-2,3929534;58,14;0,95;;;;;
11200;-2,39854169;58,39;0,95;;;;;
11250;-2,48844671;58,65;0,95;;;;;
11300;-2,39588308;58,9;0,95;;;;;
11350;-2,39832449;59,16;0,95;;;;;
11400;-2,39832449;59,43;0,95;;;;;
11450;-2,44329739;59,68;0,95;;;;;
11500;-2,3946991;59,94;0,95;;;;;
